"Timestamp","Wie alt bist du?","Als welches Geschlecht identifiziert du dich?","Welche Studienart verfolgst du?","Welcher Fakultät gehörst du an?","In welchem Studienabschnitt befindest du dich?","In welchem Semester bist du?","Welche Abschlüsse hast du bereits?","Hast du vorher schon etwas anderes studiert?","Fortsetzung zur Frage oben: Wenn nicht erster Studiengang, wie oft hast du schon studiert?","Wie finanzierst du aktuell dein Studium?","Wie viele Stunden pro Woche arbeitest du in Stunden?","Wie viel verdienst du im Monat (Brutto)?","Wirken sich deine Arbeitsstunden auf deine Studienleistung aus?","Bist du zufrieden mit der Work-Studien- Balance","HomeOffice","Flexible Arbeitszeiten","Kantine","Urlaubs-/Weihnachtsgeld","Obstkorb","Kostenlose Getränke","Betriebliche Vorsorge","Fortbildungskostenübernahme","Sonstige Zuschüsse","Bezahlter Fahrtweg ","Mitarbeiterrabatt","Work/Life Balance","Soziale Kontakte/ Freunde im Studium ","Investierte Stunden (in Stunden pro Woche) in Vorlesung (in Ziffern)","Investierte Stunden (in Stunden pro Woche) im Selbststudium (in Ziffern)","Zufriedenheit mit Resultaten (Bsp: Prüfungsergebnis)","Lerninhalte","Vorlesungsstruktur","Sprechstundenmöglichkeiten","Aktivitätsmöglichkeiten neben dem Studium","Lernumgebung (Ressourcen Bsp: Bibliothek, Lernmaterialien)","Stundenplan","Angebote zur beruflichen Orientierung","Wie würdest du die Bedeutung von Sport für deine allgemeine Gesundheit und dein Wohlbefinden einschätzen? ","Wie ist der Stellenwert von Sport in deinem Leben?","Wie viel Geld gibst du aktuell im Monat für deine sportlichen Aktivitäten aus ? (auf ganze Euro gerundet, Bsp.: 25)","Was motiviert dich am meisten, Sport zu treiben? (Mehrfachauswahl möglich)","Welche Hindernisse hindern dich daran, regelmäßig Sport zu treiben?  (Mehrfachauswahl möglich)","Wie schätzt du dein allgemeines Fitnessniveau in Bezug auf Ausdauer im Vergleich zu anderen Studenten deines Geschlechts ein?","Wie schätzt du dein allgemeines Fitnessniveau in Bezug auf Kraft im Vergleich zu anderen Studenten deines Geschlechts ein?","An wie vielen Tagen machst du Kraftsport in der Woche?","Wie viele Stunden machst du Kraftsport in der Woche? (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen gehst du Laufen in der Woche?","Wie viele Stunden gehst du Laufen in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen betreibst du Ballsport in der Woche?","Wie viele Stunden betreibst du Ballsport in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","An wie vielen Tagen machst du sonstigen Sport in der Woche?","Wie viele Stunden sonstigen Sport machst du in der Woche?  (in Zahlen und nur halbe oder ganze Stunden, Bsp.: 4,5)","Welchen sonstigen Sport machst du?"
"2024/04/30 9:31:18 AM GMT+3","21","männlich","Dual","Wirtschaftsingenieurwesen","Bachelor","2","Abitur","Nein","","Duali","wenn ich arbeite (also in den Semesterferien) dann 35 h","1.101 - 1.400€","Nein","4","4","4","1","5","4","4","3","2","4","2","4","3","5","16","10","1","2","2","3","3","4","1","3","5","5","60","Wettbewerb und Leistungssteigerung;Aussehen (Ästhetik)","Nichts","3","5","4","8","0","","2","6","1","1","Volleyball in der Freizeit"
"2024/04/30 9:32:00 AM GMT+3","37","weiblich","Vollzeit","Wirtschaftsingenieurwesen","","","Abitur;höher","Ja","2","Werkstudentenstelle;Stipendium;Eltern/Familie","8","kleiner gleich 520€","Nein","2","5","5","4","2","2","2","3","4","2","2","3","4","4","20","20","3","3","5","3","5","4","3","5","3","3","20","Gesundheit und Fitness;Soziale Interaktion (z.B. mit Freunden Sport treiben)","Zeitmangel","2","2","1","0,5","1","0,5","1","1,5","1","1","Yoga"
"2024/04/30 9:32:33 AM GMT+3","22","weiblich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","2","Mittlerer Schulabschluss;Mittlere Reife;Fachabitur","Ja","2","Werkstudentenstelle;Eltern/Familie","20","1.401 - 1.700€","Ja","2","5","4","1","2","2","2","4","3","4","4","3","3","5","30","0-7","3","2","3","2","2","3","1","3","5","4","24","Gesundheit und Fitness;Gewichtsmanagement","Zeitmangel;Mangel an Motivation","3","4","3","4","3","0,5","0","0","0","",""
"2024/04/30 9:34:37 AM GMT+3","23","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","2","Mittlerer Schulabschluss;Mittlere Reife;Fachabitur","Nein","","Eltern/Familie;Vorher Ausbildung und somit angespart","0","kein Einkommen","Nein","","5","5","3","4","1","3","4","4","3","3","4","3","6","20","6","2","2","2","3","4","4","1","1","5","4","45","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung;Aussehen (Ästhetik)","Zeitmangel","3","4","5","11,5","0","0","0","0","0","0","Keinen"
"2024/04/30 10:01:04 AM GMT+3","22","männlich","Vollzeit","Informatik","Bachelor","2","Mittlere Reife;Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Erspartes hab vorher eine Ausbildung gemacht und Vollzeit gearbeitet","0","kein Einkommen","","","5","5","4","4","1","3","3","4","5","2","3","2","5","18","10","2","2","2","2","1","2","2","1","2","1","0","Nichts","Mangel an Motivation","2","3","0","0","0","0","0","0","0","0",""
"2024/04/30 12:58:58 PM GMT+3","23","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","2","Mittlere Reife;Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Eltern/Familie","","kleiner gleich 520€","","","3","4","3","2","1","2","3","4","1","2","3","5","3","10","7","4","3","5","4","3","3","4","4","4","2","20","Gesundheit und Fitness;Gewichtsmanagement;Stressabbau und Entspannung","Zeitmangel;Mangel an Motivation","2","2","2","2","2","1","0","0","0","0",""
"2024/05/02 12:58:31 PM GMT+3","23","männlich","Vollzeit","Informatik","Bachelor","2","Mittlere Reife;Abgeschlossene Berufsausbildung;Fachabitur","Nein","","Eltern/Familie;Ersparnisse (zuvor Gearbeitet)","","kein Einkommen","","","5","5","4","2","1","2","2","2","2","2","2","2","6","20","16","2","3","2","2","1","2","2","2","5","3","20","Gesundheit und Fitness;Soziale Interaktion (z.B. mit Freunden Sport treiben);Spaß und Freude an der Bewegung","Zeitmangel","3","3","0","","0","","2","3","1","2","Fahrrad fahren, Bogenschießen"
"2024/05/05 11:11:18 PM GMT+3","25","männlich","Berufsbegleitend","Wirtschaftsingenieurwesen","Bachelor","2","Abitur","Ja","2","Selbstständig","40","größer 3000€","4","3","5","5","3","3","2","2","2","3","3","2","2","3","6","14","8","1","1","1","1","3","2","1","2","5","4","135","Gesundheit und Fitness;Stressabbau und Entspannung;Soziale Interaktion (z.B. mit Freunden Sport treiben);Wettbewerb und Leistungssteigerung","Zeitmangel","4","5","2","4","0","","0","","3","6","Klettern + Bouldern"
"2024/05/06 1:38:42 AM GMT+3","22","männlich","Vollzeit","Wirtschaftsingenieurwesen","Bachelor","2","Abitur","Nein","","Teilzeit","20","1.101 - 1.400€","2","2","5","5","2","5","3","3","4","3","5","4","3","2","2","16","20","3","1","1","1","6","2","1","1","4","2","0","Gewichtsmanagement;Soziale Interaktion (z.B. mit Freunden Sport treiben);Aussehen (Ästhetik)","Mangel an Motivation;Kosten (z.B. Mitgliedschaft im Fitnessstudio)","2","3","0","0","3","1,5","0","0","0","0","na"
"2024/05/06 6:06:53 AM GMT+3","25","männlich","Vollzeit","Business School","Bachelor","2","Fachabitur","Nein","","Werkstudentenstelle;Eltern/Familie","20","851 - 1.100€","1","3","2","2","1","1","1","2","2","2","1","1","3","4","5","30","20","2","1","3","2","3","3","2","3","3","4","30","Gesundheit und Fitness;Stressabbau und Entspannung","Gesundheitliche Einschränkungen;Mangel an geeigneten Einrichtungen oder Angeboten","4","5","2","","0","","0","","1","","Swimming "
