Schüler-ID,Alter,Geschlecht,Ethnizität,Bildung_der_Eltern,Lernzeit_pro_Woche,Fehlzeiten,Nachhilfe,Unterstützung_durch_Eltern,Extracurricular,Sports,Musik,Ehrenamt,Notendurchschnitt,Note
1001,17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,2.070804408332319,3.0
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,1.957085166563623,2.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,4.887397745533819,5.0
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.9457818602970516,4.0
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,3.7119388182046125,5.0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,1.9158163855136063,2.0
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.251762585108417,3.0
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,3.6398572876835393,5.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.103180810486431,3.0
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,1.4265257896702344,1.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.8528283749814856,4.0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,3.440405480959723,5.0
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,3.479922185125192,5.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,3.2484190416659215,5.0
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.603211882875204,4.0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,3.658479283465333,5.0
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.767824722284024,4.0
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,3.6155958243059665,5.0
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,4.530446676620129,5.0
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.6042159054693,4.0
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.221588700079347,3.0
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,4.653105963294985,5.0
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,4.687453769474645,5.0
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,3.229868123220027,5.0
1025,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,3.494844377963714,5.0
1026,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.022148081684257,3.0
1027,16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,2.051282328088079,3.0
1028,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.854795279532808,4.0
1029,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.145196071018682,3.0
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,3.480558274184861,5.0
1031,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,3.272879690477591,5.0
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,3.1524645288612096,5.0
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,4.615383027143512,5.0
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,4.05059390220272,5.0
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,3.8590405815796602,5.0
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,4.738527739949248,5.0
1037,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,4.781715143178968,5.0
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,3.9322364489580206,5.0
1039,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,1.9810941415720325,2.0
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,3.473132168207277,5.0
1041,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,3.9417126003101397,5.0
1042,17,0,0,1,14.294046327645152,7,0,2,0,0,0,0,2.374871902267769,3.0
1043,16,1,3,2,18.754092307587356,12,1,4,0,0,0,0,2.1912451779713464,3.0
1044,18,1,0,1,18.245091222023117,9,0,2,0,1,0,0,2.111108330727556,3.0
1045,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,1.0,1.0
1046,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.484699727743751,3.0
1047,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.4362345699849053,3.0
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,3.296388196767632,5.0
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.9001148432794146,4.0
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.5389530370919045,4.0
1051,17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,2.064522808305368,3.0
1052,16,1,2,0,2.200354422550872,12,1,1,1,0,1,0,3.0136219407812534,5.0
1053,17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,3.4284558086007175,5.0
1054,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,3.3356893103389167,5.0
1055,17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,4.243740833425807,5.0
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,4.197230460765793,5.0
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,3.6576128220422657,5.0
1058,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,4.7134287117133775,5.0
1059,17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,2.38616130632633,3.0
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,4.0709874453740635,5.0
